Date : 2021-11-26 20:51:50
Directory : /Users/julianklummer/WebProjects/synergic/src/app
Total : 59 files,  2544 codes, 6 comments, 316 blanks, all 2866 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/julianklummer/WebProjects/synergic/src/app/pages/pageEditor/PageEditor.tsx                                                         | TypeScript React |         34 |          0 |          2 |         36 |
| /Users/julianklummer/WebProjects/synergic/src/app/pages/start/Start.tsx                                                                   | TypeScript React |         27 |          0 |          2 |         29 |
| /Users/julianklummer/WebProjects/synergic/src/app/pages/templateEditor/TemplateEditor.tsx                                                 | TypeScript React |         47 |          0 |          2 |         49 |
| /Users/julianklummer/WebProjects/synergic/src/app/router/Router.tsx                                                                       | TypeScript React |         20 |          0 |          3 |         23 |
| /Users/julianklummer/WebProjects/synergic/src/app/router/routes.tsx                                                                       | TypeScript React |         37 |          0 |          4 |         41 |
| /Users/julianklummer/WebProjects/synergic/src/app/services/builderApiUrl.tsx                                                              | TypeScript React |          1 |          0 |          0 |          1 |
| /Users/julianklummer/WebProjects/synergic/src/app/services/contentApiUrl.tsx                                                              | TypeScript React |          1 |          0 |          0 |          1 |
| /Users/julianklummer/WebProjects/synergic/src/app/services/fetchApi.tsx                                                                   | TypeScript React |         40 |          2 |          8 |         50 |
| /Users/julianklummer/WebProjects/synergic/src/app/styles/config/breakpoints.scss                                                          | SCSS             |         11 |          0 |          1 |         12 |
| /Users/julianklummer/WebProjects/synergic/src/app/styles/config/breakpoints.tsx                                                           | TypeScript React |         11 |          0 |          1 |         12 |
| /Users/julianklummer/WebProjects/synergic/src/app/styles/config/colors.scss                                                               | SCSS             |         25 |          0 |          6 |         31 |
| /Users/julianklummer/WebProjects/synergic/src/app/styles/config/fonts.scss                                                                | SCSS             |         17 |          0 |          3 |         20 |
| /Users/julianklummer/WebProjects/synergic/src/app/styles/config/index.scss                                                                | SCSS             |          5 |          0 |          0 |          5 |
| /Users/julianklummer/WebProjects/synergic/src/app/styles/config/site-wrapper.scss                                                         | SCSS             |         34 |          0 |          7 |         41 |
| /Users/julianklummer/WebProjects/synergic/src/app/styles/config/transitions.scss                                                          | SCSS             |          3 |          0 |          0 |          3 |
| /Users/julianklummer/WebProjects/synergic/src/app/styles/functions/index.scss                                                             | SCSS             |          2 |          0 |          1 |          3 |
| /Users/julianklummer/WebProjects/synergic/src/app/styles/functions/media-query.scss                                                       | SCSS             |         72 |          0 |         10 |         82 |
| /Users/julianklummer/WebProjects/synergic/src/app/styles/functions/rem-convert.scss                                                       | SCSS             |          8 |          0 |          2 |         10 |
| /Users/julianklummer/WebProjects/synergic/src/app/styles/index.scss                                                                       | SCSS             |          3 |          0 |          1 |          4 |
| /Users/julianklummer/WebProjects/synergic/src/app/styles/template/index.scss                                                              | SCSS             |          1 |          0 |          1 |          2 |
| /Users/julianklummer/WebProjects/synergic/src/app/styles/template/typography.scss                                                         | SCSS             |         15 |          0 |          3 |         18 |
| /Users/julianklummer/WebProjects/synergic/src/app/types/ComponentData.tsx                                                                 | TypeScript React |         17 |          0 |          3 |         20 |
| /Users/julianklummer/WebProjects/synergic/src/app/types/PageData.tsx                                                                      | TypeScript React |         22 |          0 |          5 |         27 |
| /Users/julianklummer/WebProjects/synergic/src/app/types/TemplateData.tsx                                                                  | TypeScript React |         11 |          0 |          2 |         13 |
| Total                                                                                                                                     |                  |      2,544 |          6 |        316 |      2,866 |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
